date,time,connection,download
2019-08-27,02:01:01,3.4320,56.7373
2019-08-27,02:30:50,0.4680,48.9841
2019-08-27,03:00:45,0.5148,44.2417
2019-08-27,03:30:46,0.4992,44.6161
2019-08-27,04:00:45,0.4524,44.1169
2019-08-27,04:30:48,0.4836,46.6441
2019-08-27,05:00:54,0.4992,52.6657
2019-08-27,05:30:51,0.7800,47.7049
2019-08-27,06:00:46,0.4368,44.8033
2019-08-27,06:30:58,0.4836,56.9713
2019-08-27,07:00:48,0.4680,46.8157
2019-08-27,07:30:53,0.4524,52.3849
2019-08-27,08:00:50,0.5304,49.2961
2019-08-27,08:32:07,0.5148,125.8298
